DATASET_GRADIENT
#In gradient datasets, each ID is associated to a single numeric value which is converted to a colored box based on the gradient defined.

#lines starting with a hash are comments and ignored during parsing

#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throught this file.
SEPARATOR TAB
#SEPARATOR SPACE
#SEPARATOR COMMA

#label is used in the legend table (can be changed later)
DATASET_LABEL	occurence
PN14RG.vae.128486	0.884151844
PN5CF.vae.13160	1.712995803
PN10RS.vae.20750	1.303871627
PN13RB.vae.23509	1.243173787
PN1LL.vae.15513	1.664366255
PN15RM.bin.29	1.588057066
PN12RE.bin.91	1.470417568
PN15RO.bin.174	1.630118411
PN14RM.vae.22903	1.473622708
PN7RV.vae.8510	1.725690074
PN3LB.bin.76	1.779416494
PN6RQ.vae.5580	1.570532721
PN10RB.vae.90602	1.443887521
PN1RC.vae.15837	1.546909676
PN13RK.vae.28235	1.039053804
PN1RK.vae.7124	1.557567744
PN8RL.vae.6450	1.457355096
PN11RK.vae.21049	1.146263774
PN1RI.bin.31	1.348683972
PN5JH.bin.57	1.344405174
PN8RF.bin.54	1.408269662
PN9RN.vae.8861	1.303871627
PN5LD.vae.12589	1.63674899
PN10RP.vae.14678	1.4830986
PN7RQ.bin.93	0.931148407
PN6RT.vae.52612	1.313211654
PN11RI.vae.7714	1.352921025
PN11RF.vae.43843	1.220897392
PN11RK.vae.25272	1.504436656
PN5RH.vae.7584	1.519060747
PN14RO.vae.1320	1.426443631
PN9RK.vae.13598	1.06435967
PN6RJ.vae.76657	1.411965807
PN2RG.vae.20829	1.645435169
PN3RA.bin.222	1.625641109
PN16RI.vae.20113	0.544203783
PN15RI.bin.107	1.178932891
PN9RG.vae.6345	1.308566748
PN10RM.vae.47156	1.385406779
PN11RN.vae.1026	0.96333309
PN6RT.vae.6506	1.738023809
PN16RC.bin.16	1.580633048
PN16RD.vae.5145	1.753383564
PN11RA.vae.10405	1.492372144
PN4RH.vae.11860	1.688388663
PN4RE.vae.130192	1.597762375
PN10RB.bin.92	1.597762375
PN6RQ.vae.928	0.952867657
PN7RT.vae.1040	1.501451802
PN16RP.bin.77	1.20340666
PN14RI.vae.60161	1.530415498
PN8RL.vae.33528	1.647579838
PN15RD.vae.5788	1.473622708
PN10RN.vae.20273	1.74662398
PN6RC.vae.16352	0.662303095
PN5RE.bin.323	1.463935441
PN10RH.vae.91881	1.476804367
PN3DF.bin.18	1.226574525
PN16RA.bin.116	1.562800271
PN7RK.bin.39	1.578129903
