name	d_mean	d_sd	d_n	c_mean	c_sd	c_n	yi	vi	measure	model	method_tau2	val_tau2	I2	Q	Q_pval	estimate	ci_lb	ci_ub	pval	index	plab
HN-YNBP	93.7368421052632	9.06667956655429	19	97.375	12.1177260950347	8	-0.352240242372682	0.17992923058342	SMD	RM	REML	1.01035421464965	81.83%	68.4358949046858	3.70032010364192e-09	0.835274630422424	0.271025724967899	1.39952353587695	0.003715068563353	A09150	**
IM-IMBP	105.941176470588	8.84216170002629	17	97.375	12.1177260950347	8	0.832166524045638	0.197673551886609	SMD	RM	REML	1.01035421464965	81.83%	68.4358949046858	3.70032010364192e-09	0.835274630422424	0.271025724967899	1.39952353587695	0.003715068563353	A09150	**
JL-BSWP	123.375	35.0751743708119	8	97.375	12.1177260950347	8	0.936630941895634	0.277414922541134	SMD	RM	REML	1.01035421464965	81.83%	68.4358949046858	3.70032010364192e-09	0.835274630422424	0.271025724967899	1.39952353587695	0.003715068563353	A09150	**
JL-LXP	115.9	11.9298877707304	10	97.375	12.1177260950347	8	1.46852090307102	0.284904267854348	SMD	RM	REML	1.01035421464965	81.83%	68.4358949046858	3.70032010364192e-09	0.835274630422424	0.271025724967899	1.39952353587695	0.003715068563353	A09150	**
JL-SLBP	103.916666666667	9.37558079009056	12	97.375	12.1177260950347	8	0.595087849960443	0.217186572062597	SMD	RM	REML	1.01035421464965	81.83%	68.4358949046858	3.70032010364192e-09	0.835274630422424	0.271025724967899	1.39952353587695	0.003715068563353	A09150	**
LN-BJBP	86.3	9.55742875696411	10	97.375	12.1177260950347	8	-0.980784348601134	0.251720498290582	SMD	RM	REML	1.01035421464965	81.83%	68.4358949046858	3.70032010364192e-09	0.835274630422424	0.271025724967899	1.39952353587695	0.003715068563353	A09150	**
LN-JSBP	107.45	14.4967328442617	20	97.375	12.1177260950347	8	0.703859097066705	0.183846743366492	SMD	RM	REML	1.01035421464965	81.83%	68.4358949046858	3.70032010364192e-09	0.835274630422424	0.271025724967899	1.39952353587695	0.003715068563353	A09150	**
LN-LDBP	126.133333333333	12.9276374300879	15	97.375	12.1177260950347	8	2.18872650671684	0.29580848669286	SMD	RM	REML	1.01035421464965	81.83%	68.4358949046858	3.70032010364192e-09	0.835274630422424	0.271025724967899	1.39952353587695	0.003715068563353	A09150	**
LN-THNP	100.75	12.3952755976968	8	97.375	12.1177260950347	8	0.26028159626686	0.252117078417351	SMD	RM	REML	1.01035421464965	81.83%	68.4358949046858	3.70032010364192e-09	0.835274630422424	0.271025724967899	1.39952353587695	0.003715068563353	A09150	**
LN2-LDBP	113.857142857143	14.9039783758757	21	97.375	12.1177260950347	8	1.12541858452664	0.19445640952246	SMD	RM	REML	1.01035421464965	81.83%	68.4358949046858	3.70032010364192e-09	0.835274630422424	0.271025724967899	1.39952353587695	0.003715068563353	A09150	**
SD-LWP	138.636363636364	11.4789474154312	22	97.375	12.1177260950347	8	3.44826943019355	0.368630579841335	SMD	RM	REML	1.01035421464965	81.83%	68.4358949046858	3.70032010364192e-09	0.835274630422424	0.271025724967899	1.39952353587695	0.003715068563353	A09150	**
SX-LLBP	106.75	13.995770037671	20	97.375	12.1177260950347	8	0.673394912377955	0.183097512643152	SMD	RM	REML	1.01035421464965	81.83%	68.4358949046858	3.70032010364192e-09	0.835274630422424	0.271025724967899	1.39952353587695	0.003715068563353	A09150	**
HB-MSP	98.9375	16.142980930836	16	111.625	9.05439908868296	8	-0.858108476025786	0.202840628263069	SMD	RM	REML	1.50989884154031	86.83%	79.3656416777236	3.70936727599014e-11	0.971820727650271	0.300841750153653	1.64279970514689	0.00452923064759398	A09160	**
HL-MP	134.05	11.8653631257228	20	111.625	9.05439908868296	8	1.94758987421657	0.242734041395552	SMD	RM	REML	1.50989884154031	86.83%	79.3656416777236	3.70936727599014e-11	0.971820727650271	0.300841750153653	1.64279970514689	0.00452923064759398	A09160	**
HL2-MP	113.454545454545	13.5777383372555	22	111.625	9.05439908868296	8	0.141270921350912	0.170787170008201	SMD	RM	REML	1.50989884154031	86.83%	79.3656416777236	3.70936727599014e-11	0.971820727650271	0.300841750153653	1.64279970514689	0.00452923064759398	A09160	**
HN-YNBP	111.052631578947	10.517042699091	19	111.625	9.05439908868296	8	-0.0547936264519357	0.177687177864031	SMD	RM	REML	1.50989884154031	86.83%	79.3656416777236	3.70936727599014e-11	0.971820727650271	0.300841750153653	1.64279970514689	0.00452923064759398	A09160	**
IM-IMBP	129.705882352941	9.65508095436253	17	111.625	9.05439908868296	8	1.84499392834528	0.251903581324383	SMD	RM	REML	1.50989884154031	86.83%	79.3656416777236	3.70936727599014e-11	0.971820727650271	0.300841750153653	1.64279970514689	0.00452923064759398	A09160	**
JL-BSWP	125	17.8565714194283	8	111.625	9.05439908868296	8	0.893074458930058	0.274924437162288	SMD	RM	REML	1.50989884154031	86.83%	79.3656416777236	3.70936727599014e-11	0.971820727650271	0.300841750153653	1.64279970514689	0.00452923064759398	A09160	**
JL-LXP	130.8	10.9219452886786	10	111.625	9.05439908868296	8	1.79944541736033	0.314944550279419	SMD	RM	REML	1.50989884154031	86.83%	79.3656416777236	3.70936727599014e-11	0.971820727650271	0.300841750153653	1.64279970514689	0.00452923064759398	A09160	**
JL-SLBP	114.75	9.54534631973279	12	111.625	9.05439908868296	8	0.319813018203079	0.210890342498637	SMD	RM	REML	1.50989884154031	86.83%	79.3656416777236	3.70936727599014e-11	0.971820727650271	0.300841750153653	1.64279970514689	0.00452923064759398	A09160	**
LN-BJBP	113.6	13.3016289729241	10	111.625	9.05439908868296	8	0.161630392547717	0.225725677327642	SMD	RM	REML	1.50989884154031	86.83%	79.3656416777236	3.70936727599014e-11	0.971820727650271	0.300841750153653	1.64279970514689	0.00452923064759398	A09160	**
